"","Specimen_Number","Collection","Lot_Number","Collector","Ecoregion","County","Coastal_Proximity","Location","Site","SoCal_Group","Island_Size","Latitude","Longitude","Epoch","Formation","Decade","Year","Season","Month","Mean_SST","Mean_SST_Sdev","Length_mm","Width_mm","Geometric_Mean","Globosity_WoverL","Aperture_mm","Thickness_mm","Habitat","Depth","BRY","BAR","LMP","TWS","COR","ALG","SCR","BOR_TAP","BOR_STR","BOR_INC","mean_pvolc3","sd_pvolc3","zooplankton_n_points_used","zooplankton_mean_distance","fish_total_catch_wt_kg","fish_cpue_kg_per_ha_der","sd_total_catch_wt_kg","sd_cpue_kg_per_ha_der","fish_n_points_used","fish_mean_distance","Population_Density","Population_Density_NoBaja","MPA","Image_url","Specimens_per_Lot"
"11",15,"ANSP","A469539","Stahl","Southern California Bight","Los Angeles","Coastal","LA","White Point","Los Angeles",NA,33.71,-118.32,"Anthropocene",NA,1970,1976,"Winter",2,16.27545857,2.40464924,11.92,6.84,9.03,0.57,1.28,0.31,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1708.349976,1708.349976,"no",NA,12
"12",16,"ANSP","A469539","Stahl","Southern California Bight","Los Angeles","Coastal","LA","White Point","Los Angeles",NA,33.71,-118.32,"Anthropocene",NA,1970,1976,"Winter",2,16.27545857,2.40464924,11.88,6.97,9.1,0.59,1.4,0.27,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1708.349976,1708.349976,"no",NA,12
"13",17,"ANSP","A469539","Stahl","Southern California Bight","Los Angeles","Coastal","LA","White Point","Los Angeles",NA,33.71,-118.32,"Anthropocene",NA,1970,1976,"Winter",2,16.27545857,2.40464924,12.99,7.88,10.12,0.61,1.6,0.32,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1708.349976,1708.349976,"no",NA,12
"14",18,"ANSP","A469539","Stahl","Southern California Bight","Los Angeles","Coastal","LA","White Point","Los Angeles",NA,33.71,-118.32,"Anthropocene",NA,1970,1976,"Winter",2,16.27545857,2.40464924,17.9,9.59,13.1,0.54,1.8,0.32,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1708.349976,1708.349976,"no",NA,12
"15",19,"ANSP","A469539","Stahl","Southern California Bight","Los Angeles","Coastal","LA","White Point","Los Angeles",NA,33.71,-118.32,"Anthropocene",NA,1970,1976,"Winter",2,16.27545857,2.40464924,15.28,8.94,11.69,0.59,1.89,0.27,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1708.349976,1708.349976,"no",NA,12
"16",20,"ANSP","A469539","Stahl","Southern California Bight","Los Angeles","Coastal","LA","White Point","Los Angeles",NA,33.71,-118.32,"Anthropocene",NA,1970,1976,"Winter",2,16.27545857,2.40464924,14.32,8.32,10.92,0.58,1.92,0.3,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1708.349976,1708.349976,"no",NA,12
"17",21,"ANSP","A469539","Stahl","Southern California Bight","Los Angeles","Coastal","LA","White Point","Los Angeles",NA,33.71,-118.32,"Anthropocene",NA,1970,1976,"Winter",2,16.27545857,2.40464924,18,10.1,13.48,0.56,2.06,0.33,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1708.349976,1708.349976,"no",NA,12
"18",22,"ANSP","A469539","Stahl","Southern California Bight","Los Angeles","Coastal","LA","White Point","Los Angeles",NA,33.71,-118.32,"Anthropocene",NA,1970,1976,"Winter",2,16.27545857,2.40464924,17.49,10.28,13.41,0.59,2.08,0.38,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1708.349976,1708.349976,"no",NA,12
"19",23,"ANSP","A469539","Stahl","Southern California Bight","Los Angeles","Coastal","LA","White Point","Los Angeles",NA,33.71,-118.32,"Anthropocene",NA,1970,1976,"Winter",2,16.27545857,2.40464924,21.17,12.5,16.27,0.59,2.44,0.51,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1708.349976,1708.349976,"no",NA,12
"20",24,"ANSP","A469539","Stahl","Southern California Bight","Los Angeles","Coastal","LA","White Point","Los Angeles",NA,33.71,-118.32,"Anthropocene",NA,1970,1976,"Winter",2,16.27545857,2.40464924,19.11,11.21,14.64,0.59,2.58,0.48,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1708.349976,1708.349976,"no",NA,12
"21",31,"CAS","217548","McClure","Southern California Bight","Los Angeles","Coastal","LA","Point Fermin","Los Angeles",NA,33.71,-118.29,"Anthropocene",NA,1960,1960,"Summer",7,16.39862132,1.580005745,18.29,9.66,13.29,0.53,2.22,0.46,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,3
"22",32,"CAS","217548","McClure","Southern California Bight","Los Angeles","Coastal","LA","Point Fermin","Los Angeles",NA,33.71,-118.29,"Anthropocene",NA,1960,1960,"Summer",7,16.39862132,1.580005745,25.8,14.08,19.06,0.55,3.12,0.75,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,3
"23",33,"CAS","217548","McClure","Southern California Bight","Los Angeles","Coastal","LA","Point Fermin","Los Angeles",NA,33.71,-118.29,"Anthropocene",NA,1960,1960,"Summer",7,16.39862132,1.580005745,28.04,15.86,21.09,0.57,3.27,0.49,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,3
"24",71,"CAS","217494","Wicksten","Southern California Bight","Los Angeles","Off Shore","CAT","Santa Catalina Island: Avalon","CAT","Large",33.35,-118.32,"Anthropocene",NA,1970,1971,NA,NA,15.35423867,2.342125641,13.46,8.13,10.46,0.6,1.52,0.51,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.46009827,58.46009827,"no",NA,7
"25",72,"CAS","217494","Wicksten","Southern California Bight","Los Angeles","Off Shore","CAT","Santa Catalina Island: Avalon","CAT","Large",33.35,-118.32,"Anthropocene",NA,1970,1971,NA,NA,15.35423867,2.342125641,12.45,7.87,9.9,0.63,1.52,0.51,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.46009827,58.46009827,"no",NA,7
"26",73,"CAS","217494","Wicksten","Southern California Bight","Los Angeles","Off Shore","CAT","Santa Catalina Island: Avalon","CAT","Large",33.35,-118.32,"Anthropocene",NA,1970,1971,NA,NA,15.35423867,2.342125641,13.72,8.89,11.04,0.65,1.78,0.51,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.46009827,58.46009827,"no",NA,7
"27",74,"CAS","217494","Wicksten","Southern California Bight","Los Angeles","Off Shore","CAT","Santa Catalina Island: Avalon","CAT","Large",33.35,-118.32,"Anthropocene",NA,1970,1971,"Summer",8,15.35423867,2.342125641,17.78,10.41,13.6,0.59,2.03,0.76,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.46009827,58.46009827,"no",NA,7
"28",75,"CAS","217494","Wicksten","Southern California Bight","Los Angeles","Off Shore","CAT","Santa Catalina Island: Avalon","CAT","Large",33.35,-118.32,"Anthropocene",NA,1970,1971,NA,NA,15.35423867,2.342125641,15.49,9.65,12.23,0.62,2.03,0.76,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.46009827,58.46009827,"no",NA,7
"29",76,"CAS","217494","Wicksten","Southern California Bight","Los Angeles","Off Shore","CAT","Santa Catalina Island: Avalon","CAT","Large",33.35,-118.32,"Anthropocene",NA,1970,1971,"Summer",8,15.35423867,2.342125641,18.54,11.43,14.56,0.62,2.03,1.02,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.46009827,58.46009827,"no",NA,7
"30",77,"CAS","217494","Wicksten","Southern California Bight","Los Angeles","Off Shore","CAT","Santa Catalina Island: Avalon","CAT","Large",33.35,-118.32,"Anthropocene",NA,1970,1971,NA,NA,15.35423867,2.342125641,15.49,9.91,12.39,0.64,2.29,0.76,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.46009827,58.46009827,"no",NA,7
"31",78,"CAS","217493","Wicksten","Southern California Bight","Los Angeles","Off Shore","CAT","Santa Catalina Island: Avalon","CAT","Large",33.35,-118.32,"Anthropocene",NA,1970,1971,NA,NA,15.35423867,2.342125641,9.91,6.1,7.78,0.62,1.27,0.25,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.46009827,58.46009827,"no",NA,3
"32",79,"CAS","217493","Wicksten","Southern California Bight","Los Angeles","Off Shore","CAT","Santa Catalina Island: Avalon","CAT","Large",33.35,-118.32,"Anthropocene",NA,1970,1971,NA,NA,15.35423867,2.342125641,17.78,10.41,13.6,0.59,2.29,0.51,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.46009827,58.46009827,"no",NA,3
"33",80,"CAS","217493","Wicksten","Southern California Bight","Los Angeles","Off Shore","CAT","Santa Catalina Island: Avalon","CAT","Large",33.35,-118.32,"Anthropocene",NA,1970,1971,NA,NA,15.35423867,2.342125641,22.61,13.46,17.45,0.6,3.3,0.51,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.46009827,58.46009827,"no",NA,3
"34",92,"CAS","217511","Smith","Southern California Bight","Los Angeles","Off Shore","CAT","Santa Catalina Island: Blue Cavern Point","CAT","Large",33.38,-118.52,"Holocene",NA,1900,1901,NA,NA,16.00703629,1.659065137,10.16,5.33,7.36,0.53,1.52,0.25,"sand","deep",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"no",NA,6
"35",93,"CAS","217511","Smith","Southern California Bight","Los Angeles","Off Shore","CAT","Santa Catalina Island: Blue Cavern Point","CAT","Large",33.38,-118.52,"Holocene",NA,1900,1901,NA,NA,16.00703629,1.659065137,11.94,6.35,8.71,0.53,1.78,0.25,"sand","deep",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"no",NA,6
"36",94,"CAS","217511","Smith","Southern California Bight","Los Angeles","Off Shore","CAT","Santa Catalina Island: Blue Cavern Point","CAT","Large",33.38,-118.52,"Holocene",NA,1900,1901,NA,NA,16.00703629,1.659065137,12.19,6.6,8.97,0.54,1.78,0.25,"sand","deep",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"no",NA,6
"37",95,"CAS","217511","Smith","Southern California Bight","Los Angeles","Off Shore","CAT","Santa Catalina Island: Blue Cavern Point","CAT","Large",33.38,-118.52,"Holocene",NA,1900,1901,NA,NA,16.00703629,1.659065137,11.18,6.6,8.59,0.59,1.78,0.25,"sand","deep",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"no",NA,6
"38",96,"CAS","217511","Smith","Southern California Bight","Los Angeles","Off Shore","CAT","Santa Catalina Island: Blue Cavern Point","CAT","Large",33.38,-118.52,"Holocene",NA,1900,1901,NA,NA,16.00703629,1.659065137,11.94,6.1,8.53,0.51,2.29,0.25,"sand","deep",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"no",NA,6
"39",97,"CAS","217511","Smith","Southern California Bight","Los Angeles","Off Shore","CAT","Santa Catalina Island: Blue Cavern Point","CAT","Large",33.38,-118.52,"Holocene",NA,1900,1901,NA,NA,16.00703629,1.659065137,27.69,15.24,20.54,0.55,3.81,0.76,"sand","deep",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"no",NA,6
"40",98,"CAS","217529","Han","Southern California Bight","Los Angeles","Off Shore","CAT","Santa Catalina Island: Catalina Harbor","CAT","Large",33.42,-118.51,"Holocene",NA,1900,1901,"Spring",5,16.00703629,1.659065137,17.64,9.96,13.25,0.57,2.12,0.39,"sand","subtidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"no",NA,5
"41",99,"CAS","217529","Han","Southern California Bight","Los Angeles","Off Shore","CAT","Santa Catalina Island: Catalina Harbor","CAT","Large",33.42,-118.51,"Holocene",NA,1900,1901,"Spring",5,16.00703629,1.659065137,23.3,12.84,17.3,0.55,3.05,0.48,"sand","subtidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"no",NA,5
"42",100,"CAS","217529","Han","Southern California Bight","Los Angeles","Off Shore","CAT","Santa Catalina Island: Catalina Harbor","CAT","Large",33.42,-118.51,"Holocene",NA,1900,1901,"Spring",5,16.00703629,1.659065137,27.4,15.85,20.84,0.58,3.19,0.77,"sand","subtidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"no",NA,5
"43",101,"CAS","217529","Han","Southern California Bight","Los Angeles","Off Shore","CAT","Santa Catalina Island: Catalina Harbor","CAT","Large",33.42,-118.51,"Holocene",NA,1900,1901,"Spring",5,16.00703629,1.659065137,28.22,15.01,20.58,0.53,3.33,0.6,"sand","subtidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"no",NA,5
"44",102,"CAS","217529","Han","Southern California Bight","Los Angeles","Off Shore","CAT","Santa Catalina Island: Catalina Harbor","CAT","Large",33.42,-118.51,"Holocene",NA,1900,1901,"Spring",5,16.00703629,1.659065137,30.5,16.76,22.61,0.55,3.51,0.46,"sand","subtidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"no",NA,5
"45",103,"CAS","217575","KofoidRaymond","Southern California Bight","Los Angeles","Off Shore","CAT","Santa Catalina Island: Cherry Cove","CAT","Large",33.45,-118.5,"Holocene",NA,1900,1901,NA,NA,16.00703629,1.659065137,12.19,6.89,9.16,0.57,1.62,0.14,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"no",NA,3
"46",104,"CAS","217575","KofoidRaymond","Southern California Bight","Los Angeles","Off Shore","CAT","Santa Catalina Island: Cherry Cove","CAT","Large",33.45,-118.5,"Holocene",NA,1900,1901,NA,NA,16.00703629,1.659065137,21.87,12.6,16.6,0.58,2.54,0.24,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"no",NA,3
"47",105,"CAS","217575","KofoidRaymond","Southern California Bight","Los Angeles","Off Shore","CAT","Santa Catalina Island: Cherry Cove","CAT","Large",33.45,-118.5,"Holocene",NA,1900,1901,NA,NA,16.00703629,1.659065137,22.58,12.32,16.68,0.55,2.67,0.36,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"no",NA,3
"48",106,"CAS","217510","Smith","Southern California Bight","Los Angeles","Off Shore","CAT","Santa Catalina Island: Blue Cavern Point","CAT","Large",33.45,-118.48,"Holocene",NA,1900,1901,NA,NA,16.00703629,1.659065137,14.48,8.38,11.02,0.58,2.03,0.51,"sand","deep",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"no",NA,3
"49",107,"CAS","217510","Smith","Southern California Bight","Los Angeles","Off Shore","CAT","Santa Catalina Island: Blue Cavern Point","CAT","Large",33.45,-118.48,"Holocene",NA,1900,1901,NA,NA,16.00703629,1.659065137,15.49,9.65,12.23,0.62,2.29,0.25,"sand","deep",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"no",NA,3
"50",108,"CAS","217510","Smith","Southern California Bight","Los Angeles","Off Shore","CAT","Santa Catalina Island: Blue Cavern Point","CAT","Large",33.45,-118.48,"Holocene",NA,1900,1901,NA,NA,16.00703629,1.659065137,16.26,9.65,12.53,0.59,2.54,0.25,"sand","deep",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"no",NA,3
"51",109,"CAS","204235","Raymond","Southern California Bight","Los Angeles","Coastal","LA","Point Fermin","Los Angeles",NA,33.7,-118.32,"Holocene",NA,1900,1901,NA,NA,16.00703629,1.659065137,16.76,9.4,12.55,0.56,2.03,0.76,NA,"deep",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.035950098,0.035950098,"no",NA,19
"52",110,"CAS","204235","Raymond","Southern California Bight","Los Angeles","Coastal","LA","Point Fermin","Los Angeles",NA,33.7,-118.32,"Holocene",NA,1900,1901,NA,NA,16.00703629,1.659065137,20.57,11.68,15.5,0.57,2.54,0.25,NA,"deep",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.035950098,0.035950098,"no",NA,19
"53",111,"CAS","204235","Raymond","Southern California Bight","Los Angeles","Coastal","LA","Point Fermin","Los Angeles",NA,33.7,-118.32,"Holocene",NA,1900,1901,NA,NA,16.00703629,1.659065137,20.07,11.94,15.48,0.6,2.54,0.25,NA,"deep",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.035950098,0.035950098,"no",NA,19
"54",112,"CAS","204235","Raymond","Southern California Bight","Los Angeles","Coastal","LA","Point Fermin","Los Angeles",NA,33.7,-118.32,"Holocene",NA,1900,1901,NA,NA,16.00703629,1.659065137,22.86,13.72,17.71,0.6,2.54,0.25,NA,"deep",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.035950098,0.035950098,"no",NA,19
"55",113,"CAS","204235","Raymond","Southern California Bight","Los Angeles","Coastal","LA","Point Fermin","Los Angeles",NA,33.7,-118.32,"Holocene",NA,1900,1901,NA,NA,16.00703629,1.659065137,20.32,12.45,15.91,0.61,2.79,0.25,NA,"deep",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.035950098,0.035950098,"no",NA,19
"56",114,"CAS","204235","Raymond","Southern California Bight","Los Angeles","Coastal","LA","Point Fermin","Los Angeles",NA,33.7,-118.32,"Holocene",NA,1900,1901,NA,NA,16.00703629,1.659065137,18.54,11.43,14.56,0.62,2.79,0.25,NA,"deep",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.035950098,0.035950098,"no",NA,19
"57",115,"CAS","204235","Raymond","Southern California Bight","Los Angeles","Coastal","LA","Point Fermin","Los Angeles",NA,33.7,-118.32,"Holocene",NA,1900,1901,NA,NA,16.00703629,1.659065137,23.37,13.97,18.07,0.6,2.79,0.51,NA,"deep",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.035950098,0.035950098,"no",NA,19
"58",116,"CAS","204235","Raymond","Southern California Bight","Los Angeles","Coastal","LA","Point Fermin","Los Angeles",NA,33.7,-118.32,"Holocene",NA,1900,1901,NA,NA,16.00703629,1.659065137,19.05,11.43,14.76,0.6,2.79,0.51,NA,"deep",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.035950098,0.035950098,"no",NA,19
"59",117,"CAS","204235","Raymond","Southern California Bight","Los Angeles","Coastal","LA","Point Fermin","Los Angeles",NA,33.7,-118.32,"Holocene",NA,1900,1901,NA,NA,16.00703629,1.659065137,19.81,12.19,15.54,0.62,2.79,0.51,NA,"deep",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.035950098,0.035950098,"no",NA,19
"60",118,"CAS","204235","Raymond","Southern California Bight","Los Angeles","Coastal","LA","Point Fermin","Los Angeles",NA,33.7,-118.32,"Holocene",NA,1900,1901,NA,NA,16.00703629,1.659065137,22.35,11.94,16.34,0.53,3.05,0.51,NA,"deep",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.035950098,0.035950098,"no",NA,19
"61",119,"CAS","204235","Raymond","Southern California Bight","Los Angeles","Coastal","LA","Point Fermin","Los Angeles",NA,33.7,-118.32,"Holocene",NA,1900,1901,NA,NA,16.00703629,1.659065137,26.16,15.24,19.97,0.58,3.3,0.25,NA,"deep",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.035950098,0.035950098,"no",NA,19
"62",120,"CAS","204235","Raymond","Southern California Bight","Los Angeles","Coastal","LA","Point Fermin","Los Angeles",NA,33.7,-118.32,"Holocene",NA,1900,1901,NA,NA,16.00703629,1.659065137,25.65,14.48,19.27,0.56,3.3,0.51,NA,"deep",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.035950098,0.035950098,"no",NA,19
"63",121,"CAS","204235","Raymond","Southern California Bight","Los Angeles","Coastal","LA","Point Fermin","Los Angeles",NA,33.7,-118.32,"Holocene",NA,1900,1901,NA,NA,16.00703629,1.659065137,23.37,13.46,17.74,0.58,3.3,0.51,NA,"deep",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.035950098,0.035950098,"no",NA,19
"64",122,"CAS","204235","Raymond","Southern California Bight","Los Angeles","Coastal","LA","Point Fermin","Los Angeles",NA,33.7,-118.32,"Holocene",NA,1900,1901,NA,NA,16.00703629,1.659065137,22.61,13.46,17.45,0.6,3.3,0.51,NA,"deep",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.035950098,0.035950098,"no",NA,19
